year,month,year_month,turnover_eur,num_taxpayers
2019.0,2.0,2019-02,1414.57,1.0
2019.0,3.0,2019-03,395.0,1.0
2020.0,5.0,2020-05,213660.17,10.0
2023.0,3.0,2023-03,0.0,3.0
2025.0,8.0,2025-08,10860.28,5.0
2021.0,1.0,2021-01,0.0,2.0
2019.0,11.0,2019-11,1353875.73,3.0
2025.0,6.0,2025-06,5125.0,1.0
2020.0,11.0,2020-11,4000.01,2.0
2024.0,9.0,2024-09,523486.46,21.0
2025.0,11.0,2025-11,3998813.6,56.0
2024.0,10.0,2024-10,0.0,1.0
2021.0,2.0,2021-02,244797.17,6.0
2020.0,9.0,2020-09,46798.13,4.0
2019.0,11.0,2019-11,113082.75,2.0
2020.0,3.0,2020-03,0.0,1.0
2019.0,6.0,2019-06,800.0,1.0
2019.0,12.0,2019-12,3766.05,1.0
2024.0,10.0,2024-10,167141.52,1.0
2019.0,4.0,2019-04,368.64,1.0
2021.0,6.0,2021-06,3598.78,1.0
2022.0,2.0,2022-02,12794.35,1.0
2021.0,10.0,2021-10,22123.94,2.0
2021.0,5.0,2021-05,47618.64,1.0
2019.0,10.0,2019-10,2831.73,3.0
2025.0,12.0,2025-12,43718.64,1.0
2019.0,4.0,2019-04,0.0,2.0
2019.0,6.0,2019-06,0.0,1.0
2021.0,6.0,2021-06,58495.41,5.0
2020.0,1.0,2020-01,801.06,1.0
2019.0,4.0,2019-04,6199.7,1.0
2024.0,6.0,2024-06,33693.02,6.0
2023.0,12.0,2023-12,12091394.13,424.0
2025.0,10.0,2025-10,0.0,1.0
2020.0,3.0,2020-03,1313942.2,5.0
2023.0,11.0,2023-11,4877.0,2.0
2019.0,8.0,2019-08,68070.0,2.0
2022.0,2.0,2022-02,7214.74,1.0
2024.0,12.0,2024-12,14710.8,5.0
2025.0,3.0,2025-03,79504.42,4.0
2019.0,12.0,2019-12,462217.91,2.0
2024.0,12.0,2024-12,6985.0,2.0
2022.0,7.0,2022-07,6000.0,1.0
2021.0,11.0,2021-11,593.22,2.0
2021.0,8.0,2021-08,5246.9,1.0
2020.0,8.0,2020-08,311217.52,5.0
2021.0,2.0,2021-02,53686.78,2.0
2024.0,11.0,2024-11,15705.4,1.0
2022.0,11.0,2022-11,9944.92,1.0
2022.0,1.0,2022-01,4237.29,2.0
2024.0,4.0,2024-04,721.26,1.0
2020.0,8.0,2020-08,26774.13,4.0
2019.0,9.0,2019-09,2590.0,2.0
2022.0,4.0,2022-04,863.12,2.0
2019.0,10.0,2019-10,4498.72,1.0
2023.0,3.0,2023-03,102655.97,2.0
2019.0,6.0,2019-06,0.0,1.0
2024.0,2.0,2024-02,794866.07,3.0
2023.0,4.0,2023-04,0.0,5.0
2025.0,5.0,2025-05,28808.49,9.0
2024.0,4.0,2024-04,209608.4,5.0
2025.0,10.0,2025-10,1283.9,1.0
2024.0,6.0,2024-06,0.0,1.0
2021.0,1.0,2021-01,31618.23,3.0
2024.0,2.0,2024-02,6656.78,3.0
2019.0,11.0,2019-11,35023.55,6.0
2024.0,10.0,2024-10,8782.85,5.0
2022.0,7.0,2022-07,2930.0,1.0
2025.0,1.0,2025-01,7548.41,3.0
2020.0,5.0,2020-05,211278.18,3.0
2019.0,11.0,2019-11,28270.83,1.0
2023.0,4.0,2023-04,3331.38,1.0
2020.0,1.0,2020-01,0.0,1.0
2022.0,1.0,2022-01,3716.11,1.0
2024.0,3.0,2024-03,56996.58,4.0
2024.0,10.0,2024-10,172.88,2.0
2025.0,3.0,2025-03,18600.0,2.0
2021.0,4.0,2021-04,262363.3,9.0
2025.0,12.0,2025-12,34124.47,1.0
2020.0,10.0,2020-10,9027.95,1.0
2019.0,9.0,2019-09,75780.17,1.0
2022.0,12.0,2022-12,26689.96,1.0
2022.0,8.0,2022-08,97192.91,6.0
2020.0,7.0,2020-07,644.07,1.0
2025.0,9.0,2025-09,0.0,1.0
2020.0,9.0,2020-09,0.0,1.0
2020.0,4.0,2020-04,4726.21,1.0
2025.0,2.0,2025-02,129176.8,13.0
2022.0,7.0,2022-07,22017.59,2.0
2022.0,9.0,2022-09,31922.07,5.0
2021.0,9.0,2021-09,2724.62,3.0
2021.0,8.0,2021-08,41974.88,1.0
2024.0,5.0,2024-05,171830.25,3.0
2025.0,5.0,2025-05,173462.71,4.0
2022.0,8.0,2022-08,0.0,2.0
2021.0,3.0,2021-03,1805.0,2.0
2022.0,8.0,2022-08,1771.19,1.0
2023.0,6.0,2023-06,204778.12,6.0
2022.0,1.0,2022-01,796.61,2.0
2023.0,2.0,2023-02,64567.52,1.0
2022.0,10.0,2022-10,6410.0,1.0
2022.0,5.0,2022-05,296.61,1.0
2021.0,9.0,2021-09,86924.97,19.0
2025.0,6.0,2025-06,3377.0,1.0
2020.0,9.0,2020-09,2250.0,1.0
2023.0,3.0,2023-03,809.0,1.0
2020.0,2.0,2020-02,80583.74,4.0
2024.0,5.0,2024-05,4914.91,2.0
2021.0,6.0,2021-06,196475.43,2.0
2020.0,10.0,2020-10,81778.75,4.0
2020.0,6.0,2020-06,6048.48,2.0
2025.0,7.0,2025-07,0.0,2.0
2020.0,9.0,2020-09,5585.0,1.0
2025.0,3.0,2025-03,354021.24,6.0
2024.0,5.0,2024-05,102680.04,4.0
2024.0,12.0,2024-12,47817.05,9.0
2020.0,7.0,2020-07,494.92,1.0
2020.0,8.0,2020-08,5397.54,2.0
2023.0,9.0,2023-09,21718.64,7.0
2019.0,7.0,2019-07,316150.2,2.0
2024.0,2.0,2024-02,1552.97,1.0
2023.0,9.0,2023-09,0.0,1.0
2019.0,3.0,2019-03,0.0,6.0
2023.0,5.0,2023-05,0.0,1.0
2024.0,7.0,2024-07,748982.82,3.0
2020.0,10.0,2020-10,8245.42,1.0
2020.0,8.0,2020-08,4407.64,2.0
2020.0,2.0,2020-02,0.0,1.0
2022.0,3.0,2022-03,0.0,2.0
2019.0,12.0,2019-12,163063.57,7.0
2025.0,8.0,2025-08,12712.71,5.0
2019.0,6.0,2019-06,10020.0,2.0
2023.0,7.0,2023-07,0.0,1.0
2023.0,3.0,2023-03,25106.45,8.0
2023.0,10.0,2023-10,331838.28,14.0
2020.0,2.0,2020-02,444.0,1.0
2025.0,1.0,2025-01,1432.2,1.0
2020.0,8.0,2020-08,8857.23,2.0
2024.0,10.0,2024-10,192340.68,1.0
2021.0,10.0,2021-10,52652.91,3.0
2023.0,10.0,2023-10,87568.47,9.0
2021.0,5.0,2021-05,7413.03,1.0
2021.0,11.0,2021-11,65358.53,2.0
2023.0,10.0,2023-10,0.0,3.0
2022.0,12.0,2022-12,1266.0,1.0
2019.0,1.0,2019-01,26530.38,2.0
2023.0,11.0,2023-11,1771.0,1.0
2021.0,8.0,2021-08,10097.1,1.0
2020.0,2.0,2020-02,11414.35,3.0
2019.0,4.0,2019-04,42032.8,7.0
2024.0,4.0,2024-04,0.0,1.0
2024.0,10.0,2024-10,2780845.0,3.0
2020.0,7.0,2020-07,5606.85,1.0
2023.0,9.0,2023-09,190092.93,2.0
2024.0,4.0,2024-04,367519.5,14.0
2022.0,10.0,2022-10,542310.48,2.0
2024.0,7.0,2024-07,50728.74,2.0
2024.0,2.0,2024-02,5557.88,1.0
2020.0,3.0,2020-03,2150.0,3.0
2023.0,7.0,2023-07,19743.89,2.0
2023.0,2.0,2023-02,76240.81,3.0
2023.0,2.0,2023-02,134123.05,9.0
2025.0,6.0,2025-06,1940.0,1.0
2025.0,12.0,2025-12,13283.7,4.0
2023.0,7.0,2023-07,165.26,3.0
2021.0,4.0,2021-04,26745.1,3.0
2024.0,3.0,2024-03,0.0,1.0
2024.0,6.0,2024-06,18498.81,6.0
2020.0,6.0,2020-06,0.0,2.0
2022.0,8.0,2022-08,5971.42,3.0
2020.0,5.0,2020-05,0.0,2.0
2022.0,12.0,2022-12,53208.29,1.0
2022.0,3.0,2022-03,31943.52,2.0
2025.0,8.0,2025-08,50791.03,1.0
2024.0,8.0,2024-08,1691.04,1.0
2024.0,11.0,2024-11,31231.27,1.0
2024.0,9.0,2024-09,4576.5,1.0
2020.0,8.0,2020-08,7293.55,1.0
2021.0,12.0,2021-12,10251.65,2.0
2023.0,6.0,2023-06,0.0,1.0
2019.0,6.0,2019-06,0.0,2.0
2020.0,4.0,2020-04,17923.73,3.0
2022.0,7.0,2022-07,51277.27,8.0
2020.0,11.0,2020-11,32984.61,4.0
2019.0,9.0,2019-09,0.0,2.0
2024.0,11.0,2024-11,42201.43,2.0
2022.0,9.0,2022-09,7757.2,1.0
2024.0,8.0,2024-08,25425.45,2.0
2021.0,2.0,2021-02,0.0,1.0
2024.0,1.0,2024-01,49171.89,4.0
2022.0,2.0,2022-02,3403746.83,46.0
2025.0,12.0,2025-12,26215.08,5.0
2024.0,1.0,2024-01,1560.0,1.0
2020.0,11.0,2020-11,0.0,1.0
2021.0,4.0,2021-04,30797.22,4.0
2019.0,6.0,2019-06,12823.75,8.0
2024.0,1.0,2024-01,131881.46,2.0
2019.0,10.0,2019-10,0.0,2.0
2022.0,2.0,2022-02,985.0,2.0
2022.0,11.0,2022-11,0.0,1.0
2024.0,5.0,2024-05,70621.43,4.0
2019.0,5.0,2019-05,733.49,3.0
2019.0,10.0,2019-10,1824.58,1.0
2023.0,2.0,2023-02,63791.7,1.0
2021.0,2.0,2021-02,0.0,1.0
2021.0,1.0,2021-01,102589.14,2.0
2019.0,10.0,2019-10,10418.92,2.0
2024.0,2.0,2024-02,711.36,1.0
2025.0,1.0,2025-01,81817.76,1.0
2020.0,3.0,2020-03,46153.3,2.0
2021.0,12.0,2021-12,105207.86,19.0
2020.0,6.0,2020-06,2927.37,2.0
2025.0,10.0,2025-10,15692.54,2.0
2021.0,10.0,2021-10,23714.96,4.0
2020.0,12.0,2020-12,0.0,2.0
2024.0,11.0,2024-11,0.0,1.0
2022.0,7.0,2022-07,0.0,1.0
2022.0,10.0,2022-10,0.0,1.0
2023.0,6.0,2023-06,0.0,1.0
2022.0,2.0,2022-02,0.0,1.0
2022.0,4.0,2022-04,4083.32,1.0
2024.0,4.0,2024-04,22689.28,3.0
2021.0,8.0,2021-08,42864.62,2.0
2022.0,5.0,2022-05,1765.9,2.0
2023.0,5.0,2023-05,45602.5,1.0
2022.0,8.0,2022-08,22775.95,1.0
2023.0,11.0,2023-11,21186.44,2.0
2020.0,8.0,2020-08,0.0,2.0
2019.0,3.0,2019-03,481.0,3.0
2019.0,3.0,2019-03,0.0,1.0
2020.0,5.0,2020-05,11589.99,1.0
2021.0,5.0,2021-05,67141.19,3.0
2019.0,10.0,2019-10,326152.6,1.0
2025.0,5.0,2025-05,15284.05,4.0
2024.0,1.0,2024-01,319835.0,1.0
2019.0,1.0,2019-01,59481.56,1.0
2023.0,10.0,2023-10,102763.43,6.0
2022.0,6.0,2022-06,4620.0,1.0
2025.0,1.0,2025-01,17853.47,2.0
2022.0,10.0,2022-10,5812.03,2.0
2023.0,11.0,2023-11,4002.07,1.0
2023.0,7.0,2023-07,142865.52,3.0
2025.0,3.0,2025-03,78109.63,14.0
2021.0,6.0,2021-06,1260.0,2.0
2025.0,11.0,2025-11,285989.16,11.0
2021.0,6.0,2021-06,5847.5,4.0
2025.0,10.0,2025-10,759.92,1.0
2019.0,7.0,2019-07,2211.86,1.0
2023.0,6.0,2023-06,596831.05,1.0
2021.0,10.0,2021-10,72428.62,3.0
2024.0,12.0,2024-12,0.0,6.0
2023.0,8.0,2023-08,0.0,1.0
2025.0,8.0,2025-08,0.0,1.0
2023.0,11.0,2023-11,1496916.9,1.0
2024.0,9.0,2024-09,4356.5,2.0
2020.0,4.0,2020-04,6264.5,1.0
2025.0,12.0,2025-12,3579.7,1.0
2022.0,11.0,2022-11,0.0,1.0
2023.0,12.0,2023-12,2471.52,1.0
2024.0,5.0,2024-05,8950.0,1.0
2019.0,5.0,2019-05,1100.0,1.0
2019.0,5.0,2019-05,49863.41,1.0
2023.0,9.0,2023-09,2085.82,4.0
2020.0,3.0,2020-03,4323.25,2.0
2019.0,1.0,2019-01,828267.42,2.0
2021.0,10.0,2021-10,43704.5,2.0
2025.0,10.0,2025-10,553375.99,4.0
2020.0,8.0,2020-08,6343.21,2.0
2021.0,4.0,2021-04,127118.64,1.0
2023.0,5.0,2023-05,80373.42,4.0
2025.0,4.0,2025-04,33898.3,2.0
2022.0,12.0,2022-12,77845.0,2.0
2025.0,9.0,2025-09,2102365.62,2.0
2023.0,2.0,2023-02,993.75,1.0
2024.0,11.0,2024-11,0.0,1.0
2021.0,12.0,2021-12,0.0,2.0
2022.0,6.0,2022-06,84504.91,1.0
2025.0,7.0,2025-07,17685.18,1.0
2022.0,3.0,2022-03,123945.0,2.0
2023.0,3.0,2023-03,0.0,1.0
2020.0,7.0,2020-07,2188399.0,11.0
2024.0,8.0,2024-08,27490.57,3.0
2020.0,4.0,2020-04,3410.16,2.0
2021.0,4.0,2021-04,40455.24,1.0
2019.0,1.0,2019-01,1658.9,2.0
2019.0,1.0,2019-01,217226.22,16.0
2020.0,9.0,2020-09,413178.54,5.0
2025.0,5.0,2025-05,6084.75,1.0
2021.0,7.0,2021-07,4677.96,1.0
2023.0,2.0,2023-02,1853.85,4.0
2020.0,3.0,2020-03,450.0,3.0
2025.0,4.0,2025-04,0.0,1.0
2019.0,2.0,2019-02,25487.57,1.0
2025.0,9.0,2025-09,0.0,1.0
2021.0,1.0,2021-01,5605.93,1.0
2023.0,10.0,2023-10,6984.59,2.0
2023.0,7.0,2023-07,65558.06,4.0
2022.0,8.0,2022-08,3940.68,1.0
2021.0,7.0,2021-07,384145.93,5.0
2023.0,4.0,2023-04,5015889.2,3.0
2022.0,1.0,2022-01,5020.34,6.0
2025.0,2.0,2025-02,16953.99,1.0
2021.0,3.0,2021-03,3721.82,5.0
2020.0,6.0,2020-06,12766.06,2.0
2020.0,8.0,2020-08,3156.95,1.0
2019.0,2.0,2019-02,3201.85,5.0
2020.0,11.0,2020-11,55320.16,2.0
2022.0,5.0,2022-05,3267.62,2.0
2019.0,4.0,2019-04,9363.04,1.0
2020.0,10.0,2020-10,97301.19,6.0
2019.0,8.0,2019-08,6272.03,1.0
2023.0,8.0,2023-08,9322.04,3.0
2019.0,4.0,2019-04,663.15,1.0
2021.0,12.0,2021-12,0.0,1.0
2020.0,3.0,2020-03,1341370.59,383.0
2019.0,9.0,2019-09,6949.06,1.0
2024.0,4.0,2024-04,21745.8,2.0
2025.0,3.0,2025-03,17058.17,3.0
2025.0,7.0,2025-07,19448.64,1.0
2019.0,5.0,2019-05,55697.57,2.0
2024.0,6.0,2024-06,5760.3,2.0
2023.0,4.0,2023-04,9422.22,1.0
2023.0,2.0,2023-02,83974.58,1.0
2022.0,3.0,2022-03,18506.82,1.0
2025.0,4.0,2025-04,52670.48,1.0
2025.0,1.0,2025-01,15271.07,2.0
2022.0,2.0,2022-02,2000.0,1.0
2022.0,3.0,2022-03,0.0,2.0
2021.0,5.0,2021-05,107950.37,2.0
2024.0,11.0,2024-11,45924.83,9.0
2020.0,10.0,2020-10,0.0,1.0
2024.0,5.0,2024-05,304116.72,6.0
2020.0,10.0,2020-10,0.0,1.0
2023.0,8.0,2023-08,1834.58,3.0
2025.0,10.0,2025-10,1951.05,1.0
2022.0,1.0,2022-01,8022.08,1.0
2023.0,11.0,2023-11,90495.05,1.0
2023.0,2.0,2023-02,154596.64,6.0
2024.0,3.0,2024-03,49673.06,26.0
2019.0,5.0,2019-05,0.0,2.0
2023.0,2.0,2023-02,38074.41,1.0
2019.0,7.0,2019-07,3101.7,1.0
2023.0,12.0,2023-12,7607.7,5.0
2022.0,7.0,2022-07,21717.79,6.0
2020.0,12.0,2020-12,95816.95,1.0
2024.0,5.0,2024-05,0.0,1.0
2020.0,7.0,2020-07,109191.08,8.0
2021.0,5.0,2021-05,17985.89,2.0
2025.0,6.0,2025-06,458.71,1.0
2020.0,12.0,2020-12,73970.65,1.0
2021.0,5.0,2021-05,220103.13,2.0
2022.0,11.0,2022-11,78470.61,4.0
2021.0,12.0,2021-12,619201.07,1.0
2021.0,9.0,2021-09,23580.82,13.0
2025.0,5.0,2025-05,1299651.79,1.0
2020.0,1.0,2020-01,0.0,3.0
2025.0,5.0,2025-05,660372.62,21.0
2021.0,6.0,2021-06,9579.86,2.0
2019.0,8.0,2019-08,13124.13,2.0
2021.0,1.0,2021-01,53498.11,6.0
2020.0,4.0,2020-04,56819.11,1.0
2023.0,1.0,2023-01,17626.0,2.0
2022.0,8.0,2022-08,16956.61,3.0
2022.0,5.0,2022-05,30084.75,3.0
2021.0,9.0,2021-09,186522.1,7.0
2023.0,1.0,2023-01,56711.8,5.0
2020.0,6.0,2020-06,352502.55,9.0
2021.0,9.0,2021-09,17480.0,1.0
2022.0,9.0,2022-09,1540.0,6.0
2020.0,11.0,2020-11,3329.91,1.0
2022.0,11.0,2022-11,450508.88,2.0
2022.0,2.0,2022-02,3759.0,1.0
2021.0,8.0,2021-08,6587.74,1.0
2020.0,1.0,2020-01,171587.0,1.0
2019.0,10.0,2019-10,0.0,1.0
2025.0,10.0,2025-10,30073.4,1.0
2023.0,1.0,2023-01,34204.94,1.0
2022.0,4.0,2022-04,0.0,2.0
2019.0,6.0,2019-06,2503.0,1.0
2023.0,6.0,2023-06,696.0,1.0
2024.0,1.0,2024-01,97712.62,7.0
2023.0,5.0,2023-05,20956.71,2.0
2019.0,2.0,2019-02,1096.57,2.0
2022.0,1.0,2022-01,32922.79,2.0
2019.0,12.0,2019-12,60529.1,3.0
2020.0,5.0,2020-05,159944.31,5.0
2020.0,9.0,2020-09,15887.06,5.0
2021.0,7.0,2021-07,3925.0,1.0
2020.0,12.0,2020-12,587350.77,201.0
2020.0,11.0,2020-11,5168.5,1.0
2020.0,8.0,2020-08,4696.85,1.0
2024.0,7.0,2024-07,0.0,1.0
2019.0,7.0,2019-07,642.28,1.0
2021.0,8.0,2021-08,305787.13,2.0
2025.0,1.0,2025-01,8802.73,2.0
2024.0,4.0,2024-04,104004.92,8.0
2023.0,5.0,2023-05,13481.26,1.0
2024.0,6.0,2024-06,700.0,2.0
2022.0,7.0,2022-07,0.0,1.0
2023.0,8.0,2023-08,69462.38,4.0
2023.0,5.0,2023-05,19836.82,3.0
2022.0,12.0,2022-12,0.0,1.0
2019.0,5.0,2019-05,5929.83,1.0
2023.0,7.0,2023-07,0.0,4.0
2023.0,4.0,2023-04,0.0,1.0
2022.0,3.0,2022-03,35848.31,3.0
2025.0,4.0,2025-04,1016.95,1.0
2025.0,5.0,2025-05,917.91,1.0
2020.0,9.0,2020-09,7008.64,2.0
2020.0,5.0,2020-05,4951813.86,2.0
2024.0,7.0,2024-07,-680.0,1.0
2024.0,12.0,2024-12,2397.0,1.0
2020.0,9.0,2020-09,1035429.69,31.0
2022.0,1.0,2022-01,15025.76,2.0
2020.0,3.0,2020-03,6182.69,4.0
2021.0,3.0,2021-03,2158653.67,3.0
2020.0,4.0,2020-04,2133313.56,1.0
2023.0,9.0,2023-09,7940.9,1.0
2021.0,9.0,2021-09,0.0,1.0
2023.0,2.0,2023-02,216232.6,1.0
2020.0,9.0,2020-09,0.0,1.0
2025.0,6.0,2025-06,1825.0,2.0
2025.0,5.0,2025-05,91000.0,1.0
2023.0,6.0,2023-06,2200.0,1.0
2024.0,4.0,2024-04,1302941.6,55.0
2025.0,8.0,2025-08,244733.03,7.0
2020.0,5.0,2020-05,16026.09,2.0
2023.0,5.0,2023-05,12.71,2.0
2022.0,5.0,2022-05,8110.66,2.0
2019.0,5.0,2019-05,13639.62,3.0
2019.0,7.0,2019-07,5025.25,1.0
2022.0,2.0,2022-02,18004.79,1.0
2019.0,3.0,2019-03,25848.21,1.0
2023.0,12.0,2023-12,48517.66,4.0
2022.0,4.0,2022-04,7002.37,2.0
2021.0,7.0,2021-07,33292.95,1.0
2021.0,7.0,2021-07,17568.97,2.0
2020.0,6.0,2020-06,3389.85,1.0
2020.0,2.0,2020-02,994.91,2.0
2022.0,4.0,2022-04,19034.94,1.0
2023.0,10.0,2023-10,154.24,4.0
2022.0,5.0,2022-05,2566.95,1.0
2021.0,1.0,2021-01,92407.08,6.0
2023.0,9.0,2023-09,32924.57,16.0
2019.0,6.0,2019-06,9121.06,3.0
2019.0,6.0,2019-06,863612.98,3.0
2022.0,1.0,2022-01,0.0,2.0
2019.0,6.0,2019-06,23586.0,2.0
2021.0,7.0,2021-07,1677.87,1.0
2025.0,8.0,2025-08,105703.0,3.0
2022.0,7.0,2022-07,10115.34,1.0
2025.0,11.0,2025-11,2686.65,1.0
2025.0,4.0,2025-04,47191.22,3.0
2023.0,3.0,2023-03,7879.55,8.0
2021.0,6.0,2021-06,243396.09,1.0
2022.0,2.0,2022-02,0.0,1.0
2025.0,4.0,2025-04,82448.21,10.0
2025.0,3.0,2025-03,5339.72,12.0
2020.0,12.0,2020-12,40580.99,22.0
2020.0,2.0,2020-02,5241.54,1.0
2021.0,8.0,2021-08,0.0,1.0
2022.0,5.0,2022-05,1037.61,1.0
2019.0,1.0,2019-01,10765.08,3.0
2020.0,9.0,2020-09,611631.57,15.0
2022.0,10.0,2022-10,0.0,1.0
2021.0,4.0,2021-04,2664.19,1.0
2025.0,12.0,2025-12,0.0,1.0
2025.0,1.0,2025-01,12382.4,3.0
2025.0,2.0,2025-02,0.0,1.0
2019.0,7.0,2019-07,8381.36,1.0
2022.0,1.0,2022-01,508.47,1.0
2022.0,6.0,2022-06,4175.0,3.0
2019.0,5.0,2019-05,0.0,1.0
2020.0,7.0,2020-07,4633.79,3.0
2025.0,2.0,2025-02,25424.53,5.0
2020.0,4.0,2020-04,11960.45,1.0
2020.0,3.0,2020-03,1721.0,1.0
2019.0,10.0,2019-10,47798.0,7.0
2025.0,7.0,2025-07,263577.36,21.0
2021.0,1.0,2021-01,295457.41,3.0
2019.0,8.0,2019-08,2113.81,1.0
2023.0,8.0,2023-08,83419.83,2.0
2020.0,5.0,2020-05,3692.14,2.0
2025.0,9.0,2025-09,0.0,2.0
2019.0,1.0,2019-01,0.0,1.0
2021.0,7.0,2021-07,15983.05,2.0
2024.0,1.0,2024-01,5738.85,2.0
2021.0,3.0,2021-03,1646.0,3.0
2024.0,8.0,2024-08,16128.84,7.0
2021.0,8.0,2021-08,0.0,1.0
2025.0,9.0,2025-09,0.0,2.0
2019.0,10.0,2019-10,1473598.49,1.0
2021.0,11.0,2021-11,1217.97,1.0
2025.0,6.0,2025-06,20876.86,8.0
2022.0,1.0,2022-01,46021.23,1.0
2019.0,12.0,2019-12,243.22,1.0
2025.0,10.0,2025-10,276479.88,18.0
2025.0,2.0,2025-02,2821.18,1.0
2022.0,4.0,2022-04,1288.07,5.0
2025.0,12.0,2025-12,9194.92,1.0
2019.0,1.0,2019-01,2283.6,1.0
2022.0,4.0,2022-04,64396.05,2.0
2023.0,11.0,2023-11,30331.14,3.0
2020.0,12.0,2020-12,0.0,1.0
2020.0,10.0,2020-10,110563.71,3.0
2023.0,1.0,2023-01,0.0,1.0
2023.0,10.0,2023-10,1144.06,1.0
2020.0,6.0,2020-06,1500.0,3.0
2024.0,2.0,2024-02,75533.96,2.0
2023.0,10.0,2023-10,12171.52,10.0
2025.0,12.0,2025-12,33071.25,3.0
2024.0,3.0,2024-03,190373.94,2.0
2021.0,12.0,2021-12,24008.78,4.0
2023.0,9.0,2023-09,0.0,4.0
2023.0,3.0,2023-03,0.0,1.0
2024.0,12.0,2024-12,0.0,4.0
2025.0,8.0,2025-08,0.0,1.0
2021.0,6.0,2021-06,6260.0,1.0
2022.0,1.0,2022-01,2939.16,2.0
2024.0,7.0,2024-07,38666.87,3.0
2020.0,4.0,2020-04,400.0,2.0
2025.0,1.0,2025-01,37520.62,2.0
2020.0,3.0,2020-03,14742.51,1.0
2019.0,6.0,2019-06,4240.34,2.0
2019.0,10.0,2019-10,1761456.25,3.0
2022.0,5.0,2022-05,1762.71,1.0
2023.0,1.0,2023-01,0.0,1.0
2022.0,5.0,2022-05,34776.0,2.0
2019.0,9.0,2019-09,2350.0,1.0
2023.0,7.0,2023-07,100094.82,2.0
2021.0,4.0,2021-04,0.0,1.0
2024.0,8.0,2024-08,54485.65,2.0
2021.0,11.0,2021-11,159442.63,1.0
2024.0,1.0,2024-01,772579.96,14.0
2021.0,11.0,2021-11,5000.0,3.0
2023.0,2.0,2023-02,27510.62,2.0
2020.0,12.0,2020-12,10680.0,2.0
2021.0,2.0,2021-02,0.0,1.0
2019.0,1.0,2019-01,368191.88,22.0
2021.0,1.0,2021-01,291152.92,1.0
2025.0,8.0,2025-08,1292.97,1.0
2021.0,9.0,2021-09,55138.16,2.0
2023.0,6.0,2023-06,5868.7,4.0
2023.0,5.0,2023-05,2353011.6,69.0
2019.0,12.0,2019-12,1986.0,1.0
2021.0,7.0,2021-07,3854.09,1.0
2019.0,9.0,2019-09,29637.4,3.0
2024.0,5.0,2024-05,3393.47,1.0
2022.0,1.0,2022-01,154680.76,7.0
2019.0,7.0,2019-07,16898.78,4.0
2025.0,10.0,2025-10,982651.25,29.0
2020.0,1.0,2020-01,2918.0,1.0
2024.0,12.0,2024-12,2403329.77,33.0
2024.0,10.0,2024-10,6100965.59,14.0
2020.0,5.0,2020-05,122976.28,17.0
2019.0,5.0,2019-05,0.0,1.0
2019.0,9.0,2019-09,38642.38,3.0
2020.0,9.0,2020-09,10640.0,2.0
2025.0,8.0,2025-08,134534.64,3.0
2020.0,10.0,2020-10,12250.0,1.0
2024.0,12.0,2024-12,2178.42,1.0
2021.0,10.0,2021-10,465712.71,15.0
2022.0,10.0,2022-10,7486.44,3.0
2024.0,4.0,2024-04,33176.72,5.0
